"T2LBL";"T3LB";"T4LB";"T5ALB";"T5BLB";"Id";"index";"Company"
"51 - 60";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";103;1;"Chaber"
"mniej ni¿ 30";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";103;1;"Chaber"
"mniej ni¿ 30";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";102;1;"Babka"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"25.01 - 50 ha";102;1;"Babka"
"mniej ni¿ 30";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";101;1;"Arnika"
"41 - 50";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"41 - 50";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";105;1;"Fio³ek"
"powy¿ej 60";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";103;1;"Chaber"
"41 - 50";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"41 - 50";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";103;1;"Chaber"
"31 - 40";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";101;1;"Arnika"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"31 - 40";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"51 - 60";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"powy¿ej 60";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"powy¿ej 60";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";102;1;"Babka"
"mniej ni¿ 30";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";103;1;"Chaber"
"41 - 50";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";102;1;"Babka"
"51 - 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"51 - 60";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"41 - 50";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"51 - 60";"Œrednie techniczne";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";102;1;"Babka"
"51 - 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";101;1;"Arnika"
"51 - 60";"Œrednie ogólne";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";101;1;"Arnika"
"mniej ni¿ 30";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";103;1;"Chaber"
"powy¿ej 60";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"50.01 - 100 ha";103;1;"Chaber"
