"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"1";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"2";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"3";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"mniej ni¿ 30";6;"Arnika";"Detractor";1;0;0;1
"4";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";2;"Arnika";"Detractor";1;0;0;1
"5";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"6";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"mniej ni¿ 30";9;"Arnika";"Promoter";0;0;1;1
"7";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"8";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"9";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";10;"Arnika";"Promoter";0;0;1;1
"10";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"11";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";4;"Arnika";"Detractor";1;0;0;1
"12";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"13";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";6;"Arnika";"Detractor";1;0;0;1
"14";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Arnika";"Detractor";1;0;0;1
"15";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"16";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"17";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
